title;description;url;image
Todo App;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/zeciljain8197/My-To-do-Web-App;1.png
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://pythonhow.com;2.png
Credit Card Fraud Detection;A Data Science project to detect fraudulent credit card transactions from customer information.;https://github.com/zeciljain8197/Data-Science-Projects/tree/main/Credit%20Card%20Fraud%20Detection;3.png
Prison Break Analysis;A Data Science project aimed at finding some importance answers from the Wikipedia dataset.;https://github.com/zeciljain8197/Data-Science-Projects/tree/main/Prison%20Break%20Analysis;4.png
Rain Prediction in Australia;A Data Science case study to study rain patterns in Australia and predict its future occurrences.;https://github.com/zeciljain8197/Data-Science-Projects/tree/main/Rain%20Prediction%20in%20Australia;5.png
Taxi Tip Prediction;This project is aimed at predicting the tip amount for each taxi ride taken by studying the taxi fare dataset information.;https://github.com/zeciljain8197/Data-Science-Projects/tree/main/Taxi%20Tip%20Prediction;6.png
ML Song Suggester Using Facial Mood Detection;This project is aimed at creating a Machine Learning model to detect mood from facial expression and suggest songs accordingly.;https://github.com/zeciljain8197/LGMVIP--DataScience/tree/main/Task%20-10;7.png
Handwritten Equation Solver;This project is aimed at developing a mathematical equation solver using character and symbol recognition by enforcing the image processing techniques and CNN model.;https://github.com/zeciljain8197/LGMVIP--DataScience/tree/main/Task%20-9;8.png
Image to Pencil Sketch;This is a short project aimed at converting RGB images into pencil sketches.;https://github.com/zeciljain8197/LGMVIP--DataScience/tree/main/Task%20-4;9.png
IBM SpaceX Capstone Project;This is a capstone project completed under IBM Data Science Course aimed at studying SpaceX dataset and finding meaningful information for its competitors.;https://github.com/zeciljain8197/IBM_CAPSTONE_PROJ_REPO;10.png